answer,meme1,meme2,meme3,narrative,setting,source
https://memett-original.s3.amazonaws.com/memes_3368.png,https://memett-original.s3.amazonaws.com/memes_4808.png,https://memett-original.s3.amazonaws.com/memes_3368.png,https://memett-original.s3.amazonaws.com/memes_4699.png,The meme(s) view the modern Republican party with a negative sentiment because its/his/her/their religious right entanglement is/are seen as harmfully blame-deflecting.,1,Harm-P
https://memett-original.s3.amazonaws.com/memes_4360.png,https://memett-original.s3.amazonaws.com/memes_3422.png,https://memett-original.s3.amazonaws.com/memes_4360.png,https://memett-original.s3.amazonaws.com/memes_4783.png,The meme(s) view Richard Nixon with a negative sentiment because its/his/her/their character is/are seen as deceitful and dishonest.,1,Harm-P
https://memett-original.s3.amazonaws.com/memes_290.png,https://memett-original.s3.amazonaws.com/memes_1552.png,https://memett-original.s3.amazonaws.com/memes_5158.png,https://memett-original.s3.amazonaws.com/memes_290.png,The meme(s) view pizza party as a voting option with a positive sentiment because its/his/her/their nonpartisan social gathering is/are seen as highly preferable.,1,Harm-P
https://memett-original.s3.amazonaws.com/memes_4930.png,https://memett-original.s3.amazonaws.com/memes_4796.png,https://memett-original.s3.amazonaws.com/memes_4543.png,https://memett-original.s3.amazonaws.com/memes_4930.png,The meme(s) view Donald Trump's 2015 comments on Mexican immigrants with a negative sentiment because its/his/her/their substance and relevance is/are seen as hypocritically offensive and controversial.,1,Harm-P
https://memett-original.s3.amazonaws.com/memes_6858.png,https://memett-original.s3.amazonaws.com/memes_6858.png,https://memett-original.s3.amazonaws.com/memes_3528.png,https://memett-original.s3.amazonaws.com/memes_3299.png,The meme(s) view Libertarian Party with a negative sentiment because its/his/her/their Electoral Struggles and Party Structure is/are seen as ineffective and irrelevant.,1,Harm-P
https://memett-original.s3.amazonaws.com/memes_4866.png,https://memett-original.s3.amazonaws.com/memes_8230.png,https://memett-original.s3.amazonaws.com/memes_4402.png,https://memett-original.s3.amazonaws.com/memes_4866.png,The meme(s) view Donald Trump with a negative sentiment because its/his/her/their political aspirations is/are seen as dangerously authoritarian.,1,Harm-P
https://memett-original.s3.amazonaws.com/memes_1073.png,https://memett-original.s3.amazonaws.com/memes_1073.png,https://memett-original.s3.amazonaws.com/memes_1528.png,https://memett-original.s3.amazonaws.com/memes_4857.png,The meme(s) view Ruth Bader Ginsburg with a positive sentiment because its/his/her/their feminist legacy and political stance is/are seen as inspirational and authoritative.,1,Harm-P
https://memett-original.s3.amazonaws.com/memes_4378.png,https://memett-original.s3.amazonaws.com/memes_1125.png,https://memett-original.s3.amazonaws.com/memes_4378.png,https://memett-original.s3.amazonaws.com/memes_916.png,The meme(s) view Obama-era political leadership and climate shifts with a negative sentiment because its/his/her/their policy-climate dynamics is/are seen as oversimplified and crisis-exacerbating.,1,Harm-P
https://memett-original.s3.amazonaws.com/memes_4885.png,https://memett-original.s3.amazonaws.com/memes_4674.png,https://memett-original.s3.amazonaws.com/memes_4885.png,https://memett-original.s3.amazonaws.com/memes_4677.png,The meme(s) view Rick Perry's Texas governorship with a negative sentiment because its/his/her/their governance record and spiritual claims is/are seen as delusional and ill-advised.,1,Harm-P
https://memett-original.s3.amazonaws.com/memes_1680.png,https://memett-original.s3.amazonaws.com/memes_1680.png,https://memett-original.s3.amazonaws.com/memes_1685.png,https://memett-original.s3.amazonaws.com/memes_6234.png,The meme(s) view Iowa Caucus vote reporting process with a negative sentiment because its/his/her/their organizational efficiency is/are seen as chaotic and inefficient.,1,Harm-P
https://memett-original.s3.amazonaws.com/memes_2836.png,https://memett-original.s3.amazonaws.com/memes_5065.png,https://memett-original.s3.amazonaws.com/memes_321.png,https://memett-original.s3.amazonaws.com/memes_2836.png,The meme(s) view Republican Party platform with a negative sentiment because its/his/her/their core tenets and social policies is/are seen as hateful and dishonest and deadly.,1,Harm-P
https://memett-original.s3.amazonaws.com/memes_1559.png,https://memett-original.s3.amazonaws.com/memes_6270.png,https://memett-original.s3.amazonaws.com/memes_1559.png,https://memett-original.s3.amazonaws.com/memes_6260.png,The meme(s) view Nevada's 2020 election vote-counting process with a negative sentiment because its/his/her/their pace is/are seen as frustratingly slow.,1,Harm-P
https://memett-original.s3.amazonaws.com/memes_33.png,https://memett-original.s3.amazonaws.com/memes_8204.png,https://memett-original.s3.amazonaws.com/memes_33.png,https://memett-original.s3.amazonaws.com/memes_8070.png,The meme(s) view Donald Trump with a negative sentiment because its/his/her/their racially divisive rhetoric is/are seen as unrestrained and manipulative.,1,Harm-P
https://memett-original.s3.amazonaws.com/memes_1299.png,https://memett-original.s3.amazonaws.com/memes_2306.png,https://memett-original.s3.amazonaws.com/memes_1917.png,https://memett-original.s3.amazonaws.com/memes_1299.png,The meme(s) view disillusioned voters with a negative sentiment because its/his/her/their contradictory voting behavior is/are seen as self-defeating.,1,Harm-P
https://memett-original.s3.amazonaws.com/memes_8288.png,https://memett-original.s3.amazonaws.com/memes_2235.png,https://memett-original.s3.amazonaws.com/memes_8288.png,https://memett-original.s3.amazonaws.com/memes_323.png,The meme(s) view Political Oligarchy with a negative sentiment because its/his/her/their power structure is/are seen as predatory and self-defeating.,1,Harm-P
https://memett-original.s3.amazonaws.com/memes_3385.png,https://memett-original.s3.amazonaws.com/memes_4454.png,https://memett-original.s3.amazonaws.com/memes_3385.png,https://memett-original.s3.amazonaws.com/memes_4290.png,The meme(s) view The physical and political juxtaposition of Donald Trump and Hilary Cawthorne with a negative sentiment because its/his/her/their proximate suitability is/are seen as absurdly invasive.,1,Harm-P
https://memett-original.s3.amazonaws.com/memes_5987.png,https://memett-original.s3.amazonaws.com/memes_4953.png,https://memett-original.s3.amazonaws.com/memes_4562.png,https://memett-original.s3.amazonaws.com/memes_5987.png,The meme(s) view the 1956 Republican Party Platform with a positive sentiment because its/his/her/their policy positions is/are seen as balanced and socially-responsible.,1,Harm-P
