answer,meme1,meme2,meme3,narrative,setting,source
https://memett-original.s3.amazonaws.com/covid_memes_189.png,https://memett-original.s3.amazonaws.com/covid_memes_189.png,https://memett-original.s3.amazonaws.com/covid_memes_1638.png,https://memett-original.s3.amazonaws.com/covid_memes_1535.png,The meme(s) view Pandemic-era cruise travel offers and consumer responses with a neutral sentiment because its/his/her/their risk assessment is/are seen as deceptively alluring.,1,Harm-C
https://memett-original.s3.amazonaws.com/covid_memes_512.png,https://memett-original.s3.amazonaws.com/covid_memes_4570.png,https://memett-original.s3.amazonaws.com/covid_memes_4135.png,https://memett-original.s3.amazonaws.com/covid_memes_512.png,The meme(s) view individuals perceived as undermining pandemic efforts with a negative sentiment because its/his/her/their reckless conduct is/are seen as blatantly inconsiderate and dangerously dismissive.,1,Harm-C
https://memett-original.s3.amazonaws.com/covid_memes_191.png,https://memett-original.s3.amazonaws.com/covid_memes_191.png,https://memett-original.s3.amazonaws.com/covid_memes_2514.png,https://memett-original.s3.amazonaws.com/covid_memes_2562.png,The meme(s) view Trump supporters who opposed mask-wearing with a negative sentiment because its/his/her/their defiance of Trump's mask-wearing stance is/are seen as hypocritical.,1,Harm-C
https://memett-original.s3.amazonaws.com/covid_memes_4383.png,https://memett-original.s3.amazonaws.com/covid_memes_2062.png,https://memett-original.s3.amazonaws.com/covid_memes_31.png,https://memett-original.s3.amazonaws.com/covid_memes_4383.png,The meme(s) view Baba Ramdev's promotion of Coronil as a COVID-19 cure with a negative sentiment because its/his/her/their unverified medical claims is/are seen as laughably untrustworthy.,1,Harm-C
https://memett-original.s3.amazonaws.com/covid_memes_4250.png,https://memett-original.s3.amazonaws.com/covid_memes_4815.png,https://memett-original.s3.amazonaws.com/covid_memes_1309.png,https://memett-original.s3.amazonaws.com/covid_memes_4250.png,The meme(s) view emotional haircut regret with a negative sentiment because its/his/her/their aesthetic consequence is/are seen as ridiculously impractical.,1,Harm-C
https://memett-original.s3.amazonaws.com/covid_memes_4277.png,https://memett-original.s3.amazonaws.com/covid_memes_4277.png,https://memett-original.s3.amazonaws.com/covid_memes_357.png,https://memett-original.s3.amazonaws.com/covid_memes_642.png,The meme(s) view climate activism with a negative sentiment because its/his/her/their public perception and political-activist reliance is/are seen as alarmist and callous.,1,Harm-C
https://memett-original.s3.amazonaws.com/covid_memes_62.png,https://memett-original.s3.amazonaws.com/covid_memes_2530.png,https://memett-original.s3.amazonaws.com/covid_memes_1831.png,https://memett-original.s3.amazonaws.com/covid_memes_62.png,The meme(s) view pun-based humor with a positive sentiment because its/his/her/their wordplay blending biology and incarceration is/are seen as clever and amusing.,1,Harm-C
https://memett-original.s3.amazonaws.com/covid_memes_4053.png,https://memett-original.s3.amazonaws.com/covid_memes_4053.png,https://memett-original.s3.amazonaws.com/covid_memes_2707.png,https://memett-original.s3.amazonaws.com/covid_memes_2687.png,The meme(s) view post-work home experience with a positive sentiment because its/his/her/their uninhibited authenticity and comfort is/are seen as liberatingly comforting.,1,Harm-C
https://memett-original.s3.amazonaws.com/covid_memes_5444.png,https://memett-original.s3.amazonaws.com/covid_memes_1464.png,https://memett-original.s3.amazonaws.com/covid_memes_5444.png,https://memett-original.s3.amazonaws.com/covid_memes_4942.png,The meme(s) view COVID-19 nasal swab testing with a negative sentiment because its/his/her/their Invasive testing rationale is/are seen as uncomfortably invasive and inconsistent.,1,Harm-C
https://memett-original.s3.amazonaws.com/covid_memes_1928.png,https://memett-original.s3.amazonaws.com/covid_memes_1521.png,https://memett-original.s3.amazonaws.com/covid_memes_1895.png,https://memett-original.s3.amazonaws.com/covid_memes_1928.png,The meme(s) view UK government's pandemic enforcement program with a negative sentiment because its/his/her/their personnel competence and suitability is/are seen as laughably inadequate and officious.,1,Harm-C
https://memett-original.s3.amazonaws.com/covid_memes_3586.png,https://memett-original.s3.amazonaws.com/covid_memes_3586.png,https://memett-original.s3.amazonaws.com/covid_memes_5768.png,https://memett-original.s3.amazonaws.com/covid_memes_2459.png,The meme(s) view Jair Bolsonaro's handling of Brazil's COVID-19 situation with a negative sentiment because its/his/her/their politicized anti-vaccine rhetoric is/are seen as absurdly destructive.,1,Harm-C
https://memett-original.s3.amazonaws.com/covid_memes_5736.png,https://memett-original.s3.amazonaws.com/covid_memes_2899.png,https://memett-original.s3.amazonaws.com/covid_memes_5736.png,https://memett-original.s3.amazonaws.com/covid_memes_2631.png,The meme(s) view hands-on professions with a neutral sentiment because its/his/her/their remote work adaptability is/are seen as humorously incompatible.,1,Harm-C
https://memett-original.s3.amazonaws.com/covid_memes_2872.png,https://memett-original.s3.amazonaws.com/covid_memes_126.png,https://memett-original.s3.amazonaws.com/covid_memes_2872.png,https://memett-original.s3.amazonaws.com/covid_memes_3637.png,The meme(s) view pandemic-era compulsive behaviors with a negative sentiment because its/his/her/their defensive compulsions is/are seen as uncontrollably undesirable.,1,Harm-C
https://memett-original.s3.amazonaws.com/covid_memes_5008.png,https://memett-original.s3.amazonaws.com/covid_memes_5008.png,https://memett-original.s3.amazonaws.com/covid_memes_5651.png,https://memett-original.s3.amazonaws.com/covid_memes_5542.png,The meme(s) view public and media responses to the early Trump-era pandemic with a negative sentiment because its/his/her/their Proportionality of pandemic responses compared to past events is/are seen as excessively hypocritical and politically biased.,1,Harm-C
https://memett-original.s3.amazonaws.com/covid_memes_2206.png,https://memett-original.s3.amazonaws.com/covid_memes_2206.png,https://memett-original.s3.amazonaws.com/covid_memes_373.png,https://memett-original.s3.amazonaws.com/covid_memes_2541.png,The meme(s) view contemporary conspiracy theories with a negative sentiment because its/his/her/their logical coherence and rationality is/are seen as absurd and baseless.,1,Harm-C
https://memett-original.s3.amazonaws.com/covid_memes_2437.png,https://memett-original.s3.amazonaws.com/covid_memes_1221.png,https://memett-original.s3.amazonaws.com/covid_memes_3814.png,https://memett-original.s3.amazonaws.com/covid_memes_2437.png,The meme(s) view persistent coughing with a negative sentiment because its/his/her/their symbol of pandemic-era social anxiety is/are seen as exacerbatingly anxiety-inducing.,1,Harm-C
https://memett-original.s3.amazonaws.com/covid_memes_3006.png,https://memett-original.s3.amazonaws.com/covid_memes_3006.png,https://memett-original.s3.amazonaws.com/covid_memes_1505.png,https://memett-original.s3.amazonaws.com/covid_memes_2926.png,The meme(s) view sudden unemployment with a negative sentiment because its/his/her/their emotional and temporal consequences is/are seen as catastrophic.,1,Harm-C
https://memett-original.s3.amazonaws.com/covid_memes_5620.png,https://memett-original.s3.amazonaws.com/covid_memes_2794.png,https://memett-original.s3.amazonaws.com/covid_memes_5620.png,https://memett-original.s3.amazonaws.com/covid_memes_2648.png,The meme(s) view gig economy jobs with a neutral sentiment because its/his/her/their Mobile Service Delivery is/are seen as unworkable.,1,Harm-C
