aspect_0,aspect_1,aspect_10,aspect_11,aspect_2,aspect_3,aspect_4,aspect_5,aspect_6,aspect_7,aspect_8,aspect_9,meme_s3,opinion_0,opinion_1,opinion_10,opinion_11,opinion_2,opinion_3,opinion_4,opinion_5,opinion_6,opinion_7,opinion_8,opinion_9,sentiment_0,sentiment_1,sentiment_10,sentiment_11,sentiment_2,sentiment_3,sentiment_4,sentiment_5,sentiment_6,sentiment_7,sentiment_8,sentiment_9,source,source_0,source_1,source_10,source_11,source_2,source_3,source_4,source_5,source_6,source_7,source_8,source_9,target_0,target_1,target_10,target_11,target_2,target_3,target_4,target_5,target_6,target_7,target_8,target_9,viewpoint_0,viewpoint_1,viewpoint_10,viewpoint_11,viewpoint_2,viewpoint_3,viewpoint_4,viewpoint_5,viewpoint_6,viewpoint_7,viewpoint_8,viewpoint_9
Aspect: recovery,Aspect: recovery,Aspect: recovery from Covid-19 without medical intervention,Aspect: actions,Aspect: role in the specific reported case,Aspect: self-proclaimed importance in ending the pandemic,Aspect: recovery from Covid-19,Aspect: effect on Yishun man,Aspect: recovery from Covid-19,Aspect: self-attributed success,Aspect: self-recovery from Covid-19,Aspect: significance,https://memett-original.s3.amazonaws.com/img_5572.png,Opinion: undeserved and unearned,Opinion: overstated and not accomplished,Opinion: unexpected and ironic,Opinion: unhelpful and ungrateful,Opinion: ineffective,Opinion: undermined,Opinion: effortless and contrasting with dramatic depictions of defeating adversity,Opinion: insignificant,Opinion: unexpectedly easy,Opinion: undeserved and ironic,Opinion: exaggerated,Opinion: underwhelming,Sentiment: negative,Sentiment: negative,Sentiment: neutral,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: positive,Sentiment: negative,Sentiment: negative,Sentiment: neutral,TotalDefMeme,4006,4009,4008,4010,4000,4001,4007,4003,4004,4002,4011,4005,Target: people who recovered from Covid-19 before being confirmed,Target: Yishun man,Target: the Yishun man,Target: the virus,Target: Covid-19,Target: Covid-19,Target: the Yishun man,Target: Covid-19,Target: the Yishun man,Target: Covid-19,Target: Yishun man,Target: the situation of recovering from Covid-19,Viewpoint: The meme views people who recovered from Covid-19 before being confirmed with a negative sentiment because their recovery is seen as undeserved and unearned.,Viewpoint: The meme views Yishun man with a negative sentiment because his recovery is seen as overstated and not accomplished.,Viewpoint: The meme views the Yishun man with a neutral sentiment because his recovery from Covid-19 without medical intervention is seen as unexpected and ironic.,Viewpoint: The meme views the virus with a negative sentiment because its actions are seen as unhelpful and ungrateful.,Viewpoint: The meme views Covid-19 with a negative sentiment because its role in the specific reported case is seen as ineffective.,Viewpoint: The meme views Covid-19 with a negative sentiment because its self-proclaimed importance in ending the pandemic is seen as undermined.,Viewpoint: The meme views the Yishun man with a negative sentiment because his recovery from Covid-19 is seen as effortless and contrasting with dramatic depictions of defeating adversity.,Viewpoint: The meme views Covid-19 with a negative sentiment because its effect on Yishun man is seen as insignificant.,Viewpoint: The meme views the Yishun man with a positive sentiment because his recovery from Covid-19 is seen as unexpectedly easy.,Viewpoint: The meme views Covid-19 with a negative sentiment because its self-attributed success is seen as undeserved and ironic.,Viewpoint: The meme views Yishun man with a negative sentiment because his/his/their self-recovery from Covid-19 is seen as exaggerated.,Viewpoint: The meme views the situation of recovering from Covid-19 with a neutral sentiment because its significance is seen as underwhelming.
Aspect: atmosphere or experience,Aspect: skill,Aspect: academic environment,Aspect: spelling ability,Aspect: pride in studying there,Aspect: modern facilities,Aspect: academic pride,Aspect: educational environment,Aspect: association with ITE,Aspect: literacy skills,Aspect: name,Aspect: spelling,https://memett-original.s3.amazonaws.com/img_6443.png,Opinion: enthusiastically embraced,Opinion: poor,Opinion: enthusiastically embraced despite potential spelling challenges,Opinion: substandard,Opinion: exaggerated,Opinion: impressive,Opinion: being undermined by his inability to spell the name of his university,Opinion: motivational and pride-inducing,Opinion: a source of pride and enthusiasm,Opinion: deficient,Opinion: a source of pride and enthusiasm,Opinion: challenging,Sentiment: positive,Sentiment: negative,Sentiment: positive,Sentiment: negative,Sentiment: positive,Sentiment: positive,Sentiment: neutral,Sentiment: positive,Sentiment: positive,Sentiment: negative,Sentiment: positive,Sentiment: neutral,TotalDefMeme,4003,4004,4001,4002,4007,4011,4006,4005,4008,4000,4010,4009,Target: studying at ITE,Target: the speaker's spelling ability,Target: ITE education,Target: Institute of Technical Education (ITE) students,Target: the educational institution depicted,Target: the institution 'ITE',Target: the student's academic pride,Target: ITE,Target: students who study at ITE,Target: ITE students,"Target: ""Institute of Technology, Sligo""","Target: the difficulty of spelling ""TCENOT""",Viewpoint: The meme views studying at ITE with a positive sentiment because its atmosphere or experience is seen as enthusiastically embraced.,Viewpoint: The meme views the speaker's spelling ability with a negative sentiment because their skill is seen as poor.,Viewpoint: The meme views ITE education with a positive sentiment because its academic environment is seen as enthusiastically embraced despite potential spelling challenges.,Viewpoint: The meme views Institute of Technical Education (ITE) students with a negative sentiment because their spelling ability is seen as substandard.,Viewpoint: The meme views the educational institution depicted with a positive sentiment because its/his/her/their pride in studying there is seen as exaggerated.,Viewpoint: The meme views the institution 'ITE' with a positive sentiment because its modern facilities are seen as impressive.,Viewpoint: The meme views the student's academic pride with a neutral sentiment because his academic pride is seen as being undermined by his inability to spell the name of his university.,Viewpoint: The meme views ITE with a positive sentiment because its educational environment is seen as motivational and pride-inducing.,Viewpoint: The meme views students who study at ITE with a positive sentiment because their association with ITE is seen as a source of pride and enthusiasm.,Viewpoint: The meme views ITE students with a negative sentiment because their literacy skills are seen as deficient.,"Viewpoint: The meme views ""Institute of Technology, Sligo"" with a positive sentiment because its name is seen as a source of pride and enthusiasm.","Viewpoint: The meme views the difficulty of spelling ""TCENOT"" with a neutral sentiment because its spelling is seen as challenging."
Aspect: influence on a person's last words,Aspect: significance,Aspect: obsession with dieting and weight management,Aspect: use,Aspect: unpredictability,Aspect: last words,Aspect: significance,Aspect: last words,Aspect: significance,Aspect: triviality,Aspect: content,Aspect: content,https://memett-original.s3.amazonaws.com/img_4538.png,Opinion: pervasive,Opinion: absurd and nonsensical,Opinion: absurd and misplaced,Opinion: absurdly trivializing,Opinion: absurd,Opinion: nonsensical and futile,Opinion: overrated,Opinion: nonsensical,Opinion: trivial and nonsensical,Opinion: amusing,Opinion: nonsensical,Opinion: frivolous,Sentiment: neutral,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: neutral,Sentiment: negative,Sentiment: negative,Sentiment: neutral,Sentiment: negative,Sentiment: negative,TotalDefMeme,4002,4011,4001,4000,4006,4010,4005,4007,4008,4009,4004,4003,Target: online gaming culture,Target: the act of choosing last words,Target: modern society's priorities,Target: misspelled internet slang as last words,Target: the final moments of life,Target: the elderly man on the deathbed,Target: deathbed statements,Target: the man's last words,Target: the concept of 'last words',Target: last words,Target: the last words of a dying man,Target: the man's last words,Viewpoint: The meme views online gaming culture with a neutral sentiment because its influence on a person's last words is seen as pervasive.,Viewpoint: The meme views the act of choosing last words with a negative sentiment because its/his/her/their significance is seen as absurd and nonsensical.,Viewpoint: The meme views modern society's priorities with a negative sentiment because its obsession with dieting and weight management is seen as absurd and misplaced.,Viewpoint: The meme views misspelled internet slang as last words with a negative sentiment because its use is seen as absurdly trivializing.,Viewpoint: The meme views the final moments of life with a negative sentiment because its unpredictability is seen as absurd.,Viewpoint: The meme views the elderly man on the deathbed with a negative sentiment because his last words are seen as nonsensical and futile.,Viewpoint: The meme views deathbed statements with a neutral sentiment because their significance is seen as overrated.,Viewpoint: The meme views the man's last words with a negative sentiment because his last words are seen as nonsensical.,Viewpoint: The meme views the concept of 'last words' with a negative sentiment because its significance is seen as trivial and nonsensical.,Viewpoint: The meme views last words with a neutral sentiment because their triviality is seen as amusing.,Viewpoint: The meme views the last words of a dying man with a negative sentiment because their content is seen as nonsensical.,Viewpoint: The meme views the man's last words with a negative sentiment because their content is seen as frivolous.
Aspect: association with personal relationships or life choices,Aspect: relationship commitment,Aspect: justification,Aspect: unrealistic preferences,Aspect: aspirations for BTO flats,Aspect: complexity and interdependence,Aspect: housing situation,Aspect: impact on relationships,Aspect: interconnectedness,Aspect: cultural significance,Aspect: disparity between public and private housing,Aspect: bureaucratic processes,https://memett-original.s3.amazonaws.com/img_4690.png,Opinion: sarcastic,Opinion: insincere,Opinion: indicative of having superior alternatives,Opinion: humorous,Opinion: being thwarted by the preference for condos,Opinion: intricate,Opinion: desirable and secure,Opinion: materialistic,Opinion: a playful comparison to housing-related terms and phrases,Opinion: central to relationship dynamics,Opinion: inequitable,Opinion: overly complicated and stressful,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: neutral,Sentiment: positive,Sentiment: negative,Sentiment: neutral,Sentiment: neutral,Sentiment: negative,Sentiment: negative,TotalDefMeme,4003,4004,4000,4008,4001,4011,4009,4002,4010,4005,4007,4006,Target: the progression from public to private housing in Singapore,Target: the partner,Target: the partner's rejection of the BTO proposal,Target: Singaporeans' housing expectations,Target: Singaporean public housing applicants,Target: the interconnected building structure,Target: the condo,Target: Singaporean housing aspirations,Target: the architectural structure,Target: Singaporean housing aspirations,Target: the Singaporean housing system,Target: the Singaporean housing system,Viewpoint: The meme views the progression from public to private housing in Singapore with a negative sentiment because its association with personal relationships or life choices is seen as sarcastic.,Viewpoint: The meme views the partner with a negative sentiment because their relationship commitment is seen as insincere.,Viewpoint: The meme views the partner's rejection of the BTO proposal with a negative sentiment because its justification is seen as indicative of having superior alternatives.,Viewpoint: The meme views Singaporeans' housing expectations with a negative sentiment because their unrealistic preferences are seen as humorous.,Viewpoint: The meme views Singaporean public housing applicants with a negative sentiment because their aspirations for BTO flats are seen as being thwarted by the preference for condos.,Viewpoint: The meme views the interconnected building structure with a neutral sentiment because its/his/her/their complexity and interdependence is seen as intricate.,Viewpoint: The meme views the condo with a positive sentiment because its housing situation is seen as desirable and secure.,Viewpoint: The meme views Singaporean housing aspirations with a negative sentiment because their impact on relationships is seen as materialistic.,Viewpoint: The meme views the architectural structure with a neutral sentiment because its interconnectedness is seen as a playful comparison to housing-related terms and phrases.,Viewpoint: The meme views Singaporean housing aspirations with a neutral sentiment because its cultural significance is seen as central to relationship dynamics.,Viewpoint: The meme views the Singaporean housing system with a negative sentiment because its disparity between public and private housing is seen as inequitable.,Viewpoint: The meme views the Singaporean housing system with a negative sentiment because its bureaucratic processes are seen as overly complicated and stressful.
Aspect: political legacy,Aspect: public image,Aspect: public image,Aspect: serious public persona,Aspect: dignified and respected image,Aspect: public image,Aspect: dignified image,Aspect: legacy,Aspect: name,Aspect: association,Aspect: political legacy,Aspect: formal and dignified image,https://memett-original.s3.amazonaws.com/img_5744.png,"Opinion: incongruous with the silly and playful action of ""doing the stanky leg",Opinion: unexpectedly silly and informal,Opinion: unexpectedly humorous,Opinion: humorously incongruous with the attributed frivolous quote,Opinion: incongruous with the playful instruction to 'do the stanky leg',Opinion: humorous,Opinion: humorously incongruous when paired with a modern dance move,Opinion: a subject of cultural humor by associating him with a playful dance move,"Opinion: a reference to a popular dance move, creating a humorous connection",Opinion: humorous,Opinion: stigmatized or controversial,Opinion: juxtaposed with a humorous and absurd phrase,Sentiment: negative,Sentiment: neutral,Sentiment: neutral,Sentiment: neutral,Sentiment: neutral,Sentiment: negative,Sentiment: neutral,Sentiment: neutral,Sentiment: neutral,Sentiment: positive,Sentiment: negative,Sentiment: neutral,TotalDefMeme,4006,4001,4002,4000,4007,4004,4005,4009,4010,4003,4011,4008,Target: Lee Kuan Yew,Target: Lee Kuan Yew,Target: Lee Kuan Yew,Target: Lee Kuan Yew,Target: Lee Kuan Yew,Target: Lee Kuan Yew,Target: Lee Kuan Yew,Target: Lee Kuan Yew,Target: Lee Kuan Yew,Target: the association between Lee Kuan Yew and the 'stanky leg' dance,Target: Lee Kuan Yew,Target: Lee Kuan Yew,"Viewpoint: The meme views Lee Kuan Yew with a negative sentiment because his political legacy is seen as incongruous with the silly and playful action of ""doing the stanky leg.",Viewpoint: The meme views Lee Kuan Yew with a neutral sentiment because his public image is seen as unexpectedly silly and informal.,Viewpoint: The meme views Lee Kuan Yew with a neutral sentiment because his public image is seen as unexpectedly humorous.,Viewpoint: The meme views Lee Kuan Yew with a neutral sentiment because his serious public persona is seen as humorously incongruous with the attributed frivolous quote.,Viewpoint: The meme views Lee Kuan Yew with a neutral sentiment because his dignified and respected image is seen as incongruous with the playful instruction to 'do the stanky leg'.,Viewpoint: The meme views Lee Kuan Yew with a negative sentiment because his public image is seen as humorous.,Viewpoint: The meme views Lee Kuan Yew with a neutral sentiment because his dignified image is seen as humorously incongruous when paired with a modern dance move.,Viewpoint: The meme views Lee Kuan Yew with a neutral sentiment because his legacy is seen as a subject of cultural humor by associating him with a playful dance move.,"Viewpoint: The meme views Lee Kuan Yew with a neutral sentiment because his name is seen as a reference to a popular dance move, creating a humorous connection.",Viewpoint: The meme views the association between Lee Kuan Yew and the 'stanky leg' dance with a positive sentiment because its association is seen as humorous.,Viewpoint: The meme views Lee Kuan Yew with a negative sentiment because his/his/their political legacy is seen as stigmatized or controversial.,Viewpoint: The meme views Lee Kuan Yew with a neutral sentiment because his formal and dignified image is seen as juxtaposed with a humorous and absurd phrase.
Aspect: reaction to Trump's cancellation of the Singapore summit,Aspect: reaction to cancelling the Singapore summit,Aspect: outcome,Aspect: service obligations,Aspect: reaction to the cancellation of the Trump-Kim summit,Aspect: potential deployment or involvement,Aspect: situation,Aspect: reaction to the cancellation of the Trump-Kim summit,Aspect: reaction to the summit cancellation,Aspect: reaction,Aspect: use of John Krasinski's smiling face,Aspect: seriousness,https://memett-original.s3.amazonaws.com/img_4989.png,Opinion: joyful,"Opinion: smugly satisfied rather than genuinely concerned about ""open hostility""",Opinion: a relief to full-time National Service personnel,Opinion: potentially reduced,Opinion: rejoicing and relieved,Opinion: avoided,Opinion: improved,Opinion: excessively cheerful and relieved,Opinion: sarcastic and cynical,Opinion: relieved,Opinion: ironic,Opinion: insignificant,Sentiment: positive,Sentiment: negative,Sentiment: positive,Sentiment: positive,Sentiment: positive,Sentiment: positive,Sentiment: positive,Sentiment: positive,Sentiment: negative,Sentiment: positive,Sentiment: neutral,Sentiment: negative,TotalDefMeme,4003,4000,4006,4005,4001,4004,4002,4008,4011,4009,4007,4010,Target: full-time NS personnel,Target: Donald Trump,Target: the cancellation of the summit between Trump and Kim Jong Un,Target: full-time NS personnel,Target: full-time NS personnel,Target: full-time NS personnel,Target: Singaporean NS personnel,Target: full-time NS personnel in Singapore,Target: NS personnel,"Target: ""NS personnel""",Target: the political situation involving the cancellation of the Singapore summit,Target: the cancellation of the summit,Viewpoint: The meme views full-time NS personnel with a positive sentiment because their reaction to Trump's cancellation of the Singapore summit is seen as joyful.,"Viewpoint: The meme views Donald Trump with a negative sentiment because his reaction to cancelling the Singapore summit is seen as smugly satisfied rather than genuinely concerned about ""open hostility"".",Viewpoint: The meme views the cancellation of the summit between Trump and Kim Jong Un with a positive sentiment because its outcome is seen as a relief to full-time National Service personnel.,Viewpoint: The meme views full-time NS personnel with a positive sentiment because their service obligations are seen as potentially reduced.,Viewpoint: The meme views full-time NS personnel with a positive sentiment because their reaction to the cancellation of the Trump-Kim summit is seen as rejoicing and relieved.,Viewpoint: The meme views full-time NS personnel with a positive sentiment because their potential deployment or involvement is seen as avoided.,Viewpoint: The meme views Singaporean NS personnel with a positive sentiment because their situation is seen as improved.,Viewpoint: The meme views full-time NS personnel in Singapore with a positive sentiment because their reaction to the cancellation of the Trump-Kim summit is seen as excessively cheerful and relieved.,Viewpoint: The meme views NS personnel with a negative sentiment because their reaction to the summit cancellation is seen as sarcastic and cynical.,"Viewpoint: The meme views ""NS personnel"" with a positive sentiment because their reaction is seen as relieved.",Viewpoint: The meme views the political situation involving the cancellation of the Singapore summit with a neutral sentiment because its use of John Krasinski's smiling face is seen as ironic.,Viewpoint: The meme views the cancellation of the summit with a negative sentiment because its seriousness is seen as insignificant.
Aspect: responses,Aspect: responses,Aspect: functionality,Aspect: functionality,Aspect: responses to queries,Aspect: response,Aspect: limitations,Aspect: response mechanism,Aspect: user interface/functionality regarding leave applications,Aspect: responsiveness,Aspect: user experience,Aspect: user interface and functionality,https://memett-original.s3.amazonaws.com/img_4712.png,Opinion: confusing and unhelpful,Opinion: incomprehensible,Opinion: inefficient and frustrating,Opinion: unreliable and incomprehensible,Opinion: evasive and unhelpful,Opinion: ironic and unexpected,Opinion: insufficient to comprehend advanced goals,Opinion: illogical,Opinion: inexplicably confusing and non-functional,Opinion: unhelpful,Opinion: confusing and frustrating,Opinion: unhelpful and incomprehensible,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: neutral,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: negative,TotalDefMeme,4009,4011,4005,4002,4006,4010,4007,4004,4000,4003,4008,4001,Target: the NS Portal,Target: NS Portal,Target: the NS Portal,Target: the NS Portal,Target: the National Service Portal,Target: the NS Portal,Target: human understanding,Target: the NS Portal system,Target: the NS Portal,Target: NS Portal,Target: bureaucratic systems,Target: the NS Portal,Viewpoint: The meme views the NS Portal with a negative sentiment because its responses are seen as confusing and unhelpful.,Viewpoint: The meme views NS Portal with a negative sentiment because its/his/her/their responses are seen as incomprehensible.,Viewpoint: The meme views the NS Portal with a negative sentiment because its functionality is seen as inefficient and frustrating.,Viewpoint: The meme views the NS Portal with a negative sentiment because its functionality is seen as unreliable and incomprehensible.,Viewpoint: The meme views the National Service Portal with a negative sentiment because its responses to queries are seen as evasive and unhelpful.,Viewpoint: The meme views the NS Portal with a neutral sentiment because its/his/her/their response is seen as ironic and unexpected.,Viewpoint: The meme views human understanding with a negative sentiment because its limitations are seen as insufficient to comprehend advanced goals.,Viewpoint: The meme views the NS Portal system with a negative sentiment because its response mechanism is seen as illogical.,Viewpoint: The meme views the NS Portal with a negative sentiment because its user interface/functionality regarding leave applications is/are seen as inexplicably confusing and non-functional.,Viewpoint: The meme views NS Portal with a negative sentiment because its responsiveness is seen as unhelpful.,Viewpoint: The meme views bureaucratic systems with a negative sentiment because their user experience is seen as confusing and frustrating.,Viewpoint: The meme views the NS Portal with a negative sentiment because its user interface and functionality are seen as unhelpful and incomprehensible.
Aspect: absence,Aspect: lack of supervision,Aspect: behavior,Aspect: reaction to the CSM's warning,Aspect: reaction to a supervisor's temporary absence,Aspect: intensity,Aspect: exaggerated self-importance,Aspect: influence on behavior,Aspect: potential for mischief,Aspect: disregard for rules,Aspect: reaction,Aspect: reaction to the CSM's absence,https://memett-original.s3.amazonaws.com/img_6970.png,Opinion: enabling forbidden activities,Opinion: a threat to authority,Opinion: potentially disobedient,Opinion: enthusiastically rebellious,Opinion: an exaggerated sense of empowerment and freedom from oversight,Opinion: over-the-top,Opinion: ridiculous,Opinion: corrosive,Opinion: dangerous,Opinion: humorous,Opinion: exaggerated and disproportionate,Opinion: unruly,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: positive,Sentiment: neutral,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: positive,Sentiment: negative,Sentiment: negative,TotalDefMeme,4008,4011,4006,4001,4000,4007,4005,4004,4009,4002,4010,4003,"Target: authority figures (e.g., CSM)",Target: men,Target: people who are warned by a person in authority,Target: men,Target: subordinates (like soldiers under a CSM),Target: a person's reaction,Target: individuals in authority,Target: the absence of supervision,Target: men,Target: subordinates,Target: the community's reaction to the CSM's absence,Target: men,"Viewpoint: The meme views authority figures (e.g., CSM) with a negative sentiment because their absence is seen as enabling forbidden activities.",Viewpoint: The meme views men with a negative sentiment because their lack of supervision is seen as a threat to authority.,Viewpoint: The meme views people who are warned by a person in authority with a negative sentiment because their behavior is seen as potentially disobedient.,Viewpoint: The meme views men with a positive sentiment because their reaction to the CSM's warning is seen as enthusiastically rebellious.,Viewpoint: The meme views subordinates (like soldiers under a CSM) with a neutral sentiment because their reaction to a supervisor's temporary absence is seen as an exaggerated sense of empowerment and freedom from oversight.,Viewpoint: The meme views a person's reaction with a negative sentiment because its intensity is seen as over-the-top.,Viewpoint: The meme views individuals in authority with a negative sentiment because their exaggerated self-importance is seen as ridiculous.,Viewpoint: The meme views the absence of supervision with a negative sentiment because its influence on behavior is seen as corrosive.,Viewpoint: The meme views men with a negative sentiment because their potential for mischief is seen as dangerous.,Viewpoint: The meme views subordinates with a positive sentiment because their disregard for rules is seen as humorous.,Viewpoint: The meme views the community's reaction to the CSM's absence with a negative sentiment because its reaction is seen as exaggerated and disproportionate.,Viewpoint: The meme views men with a negative sentiment because their reaction to the CSM's absence is seen as unruly.
Aspect: promotional nature,Aspect: product,Aspect: focus (the return of fast food),Aspect: urban environment,Aspect: spiciness,Aspect: emphasis on branding and products,Aspect: marketing,Aspect: wordplay,Aspect: use of irony,Aspect: commercial priorities,Aspect: return to Italy,Aspect: focus on the dolphins returning to Italy,https://memett-original.s3.amazonaws.com/img_6919.png,Opinion: expected,Opinion: appealing and relatable,Opinion: humorously consumer-centric compared to environmental recovery elsewhere,Opinion: prioritizing fast food over natural elements,Opinion: extremely spicy or 'hot,Opinion: trivializing and disconnected from meaningful environmental events,Opinion: unexpectedly surprising,Opinion: amusing,Opinion: overly simplistic and humorous,Opinion: environmentally neglectful,Opinion: unexpected and surprising,"Opinion: a distraction from its own food and culture, represented by the Chicken McCrispy advertisement",Sentiment: neutral,Sentiment: positive,Sentiment: neutral,Sentiment: negative,Sentiment: positive,Sentiment: negative,Sentiment: neutral,Sentiment: positive,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: negative,TotalDefMeme,4004,4009,4000,4001,4008,4005,4006,4003,4007,4002,4011,4010,Target: advertisements like Chicken McCrispy,Target: McDonald's Chicken McNuggets,Target: Singapore's notable events,Target: Singapore,Target: Singaporean cuisine,Target: commercial consumer culture,Target: the return of the Chicken McCrispy to the McDonald's menu,Target: the coincidence between 'dolphins' and 'McCrispy',Target: McDonald's advertisement,Target: Singapore,Target: McDonald's Chicken McNuggets,Target: Singapore,Viewpoint: The meme views advertisements like Chicken McCrispy with a neutral sentiment because their promotional nature is seen as expected.,Viewpoint: The meme views McDonald's Chicken McNuggets with a positive sentiment because its product is seen as appealing and relatable.,Viewpoint: The meme views Singapore's notable events with a neutral sentiment because its/his/her/their focus (the return of fast food) is/are seen as humorously consumer-centric compared to environmental recovery elsewhere.,Viewpoint: The meme views Singapore with a negative sentiment because its urban environment is seen as prioritizing fast food over natural elements.,Viewpoint: The meme views Singaporean cuisine with a positive sentiment because its spiciness is seen as extremely spicy or 'hot.,Viewpoint: The meme views commercial consumer culture with a negative sentiment because its emphasis on branding and products is seen as trivializing and disconnected from meaningful environmental events.,Viewpoint: The meme views the return of the Chicken McCrispy to the McDonald's menu with a neutral sentiment because its marketing is seen as unexpectedly surprising.,Viewpoint: The meme views the coincidence between 'dolphins' and 'McCrispy' with a positive sentiment because its wordplay is seen as amusing.,Viewpoint: The meme views McDonald's advertisement with a negative sentiment because its use of irony is seen as overly simplistic and humorous.,Viewpoint: The meme views Singapore with a negative sentiment because its commercial priorities are seen as environmentally neglectful.,Viewpoint: The meme views McDonald's Chicken McNuggets with a negative sentiment because its/his/her/their return to Italy is seen as unexpected and surprising.,"Viewpoint: The meme views Singapore with a negative sentiment because its focus on the dolphins returning to Italy is seen as a distraction from its own food and culture, represented by the Chicken McCrispy advertisement."
Aspect: assignment,Aspect: potential exploitation of light duty status,Aspect: being seen as a punishment,Aspect: duration,Aspect: reaction to this opportunity,Aspect: absurdity,Aspect: leniency,Aspect: leniency,Aspect: attitude towards the status,Aspect: process of granting light duties,Aspect: nature,Aspect: light duties aspect,https://memett-original.s3.amazonaws.com/img_6769.png,Opinion: frustrating and unwanted,Opinion: opportunistic,Opinion: frustrating,Opinion: unnecessarily long,Opinion: humorously comparable to succumbing to a powerful temptation,Opinion: frustrating and surprising,Opinion: unjustified,Opinion: desirable,Opinion: ironically accepting and exaggeratedly enthusiastic,Opinion: potentially exploitable for personal benefit,Opinion: a reasonable alternative,Opinion: unreasonable,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: neutral,Sentiment: negative,Sentiment: negative,Sentiment: positive,Sentiment: neutral,Sentiment: neutral,Sentiment: neutral,Sentiment: negative,TotalDefMeme,4005,4002,4007,4011,4000,4006,4004,4003,4008,4001,4010,4009,Target: light duties,Target: military personnel,Target: receiving light duties,Target: light duties,Target: personnel receiving unexpected light duties,Target: the practice of giving light duties to soldiers who seek medical help,Target: medical accommodations,Target: the '2 weeks light duties' status,Target: people who receive a 2-week light duties status,Target: the military medical system,Target: light duties,Target: the medical officer's decision,Viewpoint: The meme views light duties with a negative sentiment because their assignment is seen as frustrating and unwanted.,Viewpoint: The meme views military personnel with a negative sentiment because their potential exploitation of light duty status is seen as opportunistic.,Viewpoint: The meme views receiving light duties with a negative sentiment because its aspect of being seen as a punishment is seen as frustrating.,Viewpoint: The meme views light duties with a negative sentiment because its/his/her/their duration is seen as unnecessarily long.,Viewpoint: The meme views personnel receiving unexpected light duties with a neutral sentiment because their reaction to this opportunity is seen as humorously comparable to succumbing to a powerful temptation.,Viewpoint: The meme views the practice of giving light duties to soldiers who seek medical help with a negative sentiment because its absurdity is seen as frustrating and surprising.,Viewpoint: The meme views medical accommodations with a negative sentiment because their leniency is seen as unjustified.,Viewpoint: The meme views the '2 weeks light duties' status with a positive sentiment because its leniency is seen as desirable.,Viewpoint: The meme views people who receive a 2-week light duties status with a neutral sentiment because their attitude towards the status is seen as ironically accepting and exaggeratedly enthusiastic.,Viewpoint: The meme views the military medical system with a neutral sentiment because its process of granting light duties is seen as potentially exploitable for personal benefit.,Viewpoint: The meme views light duties with a neutral sentiment because its/their nature is seen as a reasonable alternative.,Viewpoint: The meme views the medical officer's decision with a negative sentiment because its light duties aspect is seen as unreasonable.
