aspect_0,aspect_1,aspect_10,aspect_11,aspect_2,aspect_3,aspect_4,aspect_5,aspect_6,aspect_7,aspect_8,aspect_9,meme_s3,opinion_0,opinion_1,opinion_10,opinion_11,opinion_2,opinion_3,opinion_4,opinion_5,opinion_6,opinion_7,opinion_8,opinion_9,sentiment_0,sentiment_1,sentiment_10,sentiment_11,sentiment_2,sentiment_3,sentiment_4,sentiment_5,sentiment_6,sentiment_7,sentiment_8,sentiment_9,source,source_0,source_1,source_10,source_11,source_2,source_3,source_4,source_5,source_6,source_7,source_8,source_9,target_0,target_1,target_10,target_11,target_2,target_3,target_4,target_5,target_6,target_7,target_8,target_9,viewpoint_0,viewpoint_1,viewpoint_10,viewpoint_11,viewpoint_2,viewpoint_3,viewpoint_4,viewpoint_5,viewpoint_6,viewpoint_7,viewpoint_8,viewpoint_9
Aspect: complexity,Aspect: tendency to blame unrelated events or countries for local problems,Aspect: action,Aspect: logic,Aspect: perceived complexity and indirectness,Aspect: explanations,Aspect: being overly complicated,Aspect: explanations,Aspect: causality,Aspect: complexity,Aspect: causal connection,Aspect: illogical nature,https://memett-original.s3.amazonaws.com/covid_memes_3579.png,Opinion: overwhelming,Opinion: irrational and unfounded,Opinion: absurd and unrelated to the serious topic being explained,Opinion: absurd,Opinion: so convoluted it resembles a conspiracy theory,Opinion: illogical,Opinion: confusing,Opinion: absurd and exaggerated,Opinion: completely implausible and ridiculous,Opinion: absurdly convoluted,Opinion: oversimplified and humorous,Opinion: ridiculous,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: neutral,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: negative,Harm-C,4009,4008,4010,4003,4000,4002,4011,4006,4001,4004,4005,4007,Target: the concept of explaining complex global events to grandchildren,Target: people who draw exaggerated and implausible connections between distant events,Target: the guy eating bat soup in China,Target: the chain of events from eating bat soup in China to the US toilet paper shortage,Target: the causal chain linking the alleged COVID-19 origin (bat soup in China) to the US toilet paper shortage,Target: COVID-19 conspiracy theories,"Target: the explanation of complex, unrelated events",Target: conspiracy theories about the COVID-19 pandemic,Target: explanations linking a person eating bat soup in China to the toilet paper shortage in the US,Target: the explanation of global issues,Target: simplified explanations of complex issues,Target: absurd explanations,Viewpoint: The meme views the concept of explaining complex global events to grandchildren with a negative sentiment because its complexity is seen as overwhelming.,Viewpoint: The meme views people who draw exaggerated and implausible connections between distant events with a negative sentiment because their tendency to blame unrelated events or countries for local problems is seen as irrational and unfounded.,Viewpoint: The meme views the guy eating bat soup in China with a negative sentiment because his action is seen as absurd and unrelated to the serious topic being explained.,Viewpoint: The meme views the chain of events from eating bat soup in China to the US toilet paper shortage with a negative sentiment because its logic is seen as absurd.,Viewpoint: The meme views the causal chain linking the alleged COVID-19 origin (bat soup in China) to the US toilet paper shortage with a neutral sentiment because its perceived complexity and indirectness is/are seen as so convoluted it resembles a conspiracy theory.,Viewpoint: The meme views COVID-19 conspiracy theories with a negative sentiment because their explanations are seen as illogical.,"Viewpoint: The meme views the explanation of complex, unrelated events with a negative sentiment because its/his/her/their aspect of being overly complicated is seen as confusing.",Viewpoint: The meme views conspiracy theories about the COVID-19 pandemic with a negative sentiment because their explanations are seen as absurd and exaggerated.,Viewpoint: The meme views explanations linking a person eating bat soup in China to the toilet paper shortage in the US with a negative sentiment because their causality is seen as completely implausible and ridiculous.,Viewpoint: The meme views the explanation of global issues with a negative sentiment because its complexity is seen as absurdly convoluted.,Viewpoint: The meme views simplified explanations of complex issues with a negative sentiment because their causal connection is seen as oversimplified and humorous.,Viewpoint: The meme views absurd explanations with a negative sentiment because its/his/her/their illogical nature is seen as ridiculous.
Aspect: actions or decisions,Aspect: serious demeanors,Aspect: political persona,Aspect: actions and policies,Aspect: expressions,Aspect: political actions,Aspect: political actions,Aspect: manifestation,Aspect: political influence,Aspect: serious expressions,Aspect: nature/character,Aspect: true nature,https://memett-original.s3.amazonaws.com/covid_memes_801.png,Opinion: externally and malevolently controlled,Opinion: sinister and exaggerated,Opinion: sinister and harmful,Opinion: harmful and malevolent,Opinion: demonic,Opinion: corrupt,Opinion: malevolent,Opinion: more subtle and less dramatic,Opinion: corrupting and demonic,Opinion: indicative of 'demon possession,Opinion: evil and comparable to demonic possession,Opinion: deceiving and unexpected,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: negative,Harm-C,4008,4009,4001,4005,4003,4002,4004,4010,4006,4011,4000,4007,"Target: Joe Biden, Nancy Pelosi, George Soros, and Hillary Clinton","Target: the serious expressions of political figures, including George Soros, Hillary Clinton, Nancy Pelosi, and Joe Biden,","Target: George Soros, Hillary Clinton, Nancy Pelosi, and Joe Biden","Target: the political figures Nancy Pelosi, George Soros, Joe Biden, and Hillary Clinton","Target: Nancy Pelosi, George Soros, Joe Biden, and Hillary Clinton",Target: Hillary Clinton,Target: Nancy Pelosi,Target: demonic possession,"Target: Nancy Pelosi, George Soros, Joe Biden, and Hillary Clinton",Target: political figures,"Target: prominent Democratic political figures (George Soros, Hillary Clinton, Nancy Pelosi, Joe Biden)",Target: political figures,"Viewpoint: The meme views Joe Biden, Nancy Pelosi, George Soros, and Hillary Clinton with a negative sentiment because their actions or decisions are seen as externally and malevolently controlled.","Viewpoint: The meme views the serious expressions of political figures, including George Soros, Hillary Clinton, Nancy Pelosi, and Joe Biden, with a negative sentiment because their serious demeanors are seen as sinister and exaggerated.","Viewpoint: The meme views George Soros, Hillary Clinton, Nancy Pelosi, and Joe Biden with a negative sentiment because their political persona is seen as sinister and harmful.","Viewpoint: The meme views the political figures Nancy Pelosi, George Soros, Joe Biden, and Hillary Clinton with a negative sentiment because their actions and policies are seen as harmful and malevolent.","Viewpoint: The meme views Nancy Pelosi, George Soros, Joe Biden, and Hillary Clinton with a negative sentiment because their expressions are seen as demonic.",Viewpoint: The meme views Hillary Clinton with a negative sentiment because her political actions are seen as corrupt.,Viewpoint: The meme views Nancy Pelosi with a negative sentiment because her political actions are seen as malevolent.,Viewpoint: The meme views demonic possession with a negative sentiment because its manifestation is seen as more subtle and less dramatic.,"Viewpoint: The meme views Nancy Pelosi, George Soros, Joe Biden, and Hillary Clinton with a negative sentiment because their political influence is seen as corrupting and demonic.",Viewpoint: The meme views political figures with a negative sentiment because their serious expressions are seen as indicative of 'demon possession.,"Viewpoint: The meme views prominent Democratic political figures (George Soros, Hillary Clinton, Nancy Pelosi, Joe Biden) with a negative sentiment because their nature/character is seen as evil and comparable to demonic possession.",Viewpoint: The meme views political figures with a negative sentiment because their true nature is seen as deceiving and unexpected.
Aspect: implementation,Aspect: implementation,Aspect: hand hygiene practices,Aspect: level of detail,Aspect: methods,Aspect: absurdity,Aspect: interpretation,Aspect: complexity and impracticality of hygiene instructions,Aspect: lack of hygiene,Aspect: practicality,Aspect: practicality,Aspect: method of using teeth to clean under fingernails,https://memett-original.s3.amazonaws.com/covid_memes_4674.png,Opinion: absurdly unhygienic,Opinion: irresponsible and unsafe,Opinion: hygienic,Opinion: absurd,Opinion: absurdly incorrect and unhygienic,Opinion: silly,Opinion: ridiculous and misguided,Opinion: overcomplicated and absurd,Opinion: dangerous,Opinion: questionable,Opinion: absurd,Opinion: absurd,Sentiment: negative,Sentiment: negative,Sentiment: positive,Sentiment: negative,Sentiment: negative,Sentiment: neutral,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: negative,Harm-C,4002,4010,4004,4003,4000,4009,4001,4008,4007,4006,4005,4011,Target: coronavirus-related hygiene practices,Target: the use of unconventional methods (drying hands on a child's hair and cleaning hands with teeth),Target: individuals,Target: public health advice on hand hygiene during the coronavirus pandemic,Target: purported coronavirus handwashing instructions,Target: the exaggerated handwashing method,Target: handwashing guidelines during the coronavirus pandemic,Target: public health advice during the coronavirus pandemic,Target: improper hand-washing techniques,Target: overly complicated hygiene instructions,Target: overly complicated instructions,Target: hand-washing,Viewpoint: The meme views coronavirus-related hygiene practices with a negative sentiment because their implementation is seen as absurdly unhygienic.,Viewpoint: The meme views the use of unconventional methods (drying hands on a child's hair and cleaning hands with teeth) with a negative sentiment because their implementation is seen as irresponsible and unsafe.,Viewpoint: The meme views individuals with a positive sentiment because their hand hygiene practices are seen as hygienic.,Viewpoint: The meme views public health advice on hand hygiene during the coronavirus pandemic with a negative sentiment because its level of detail is seen as absurd.,Viewpoint: The meme views purported coronavirus handwashing instructions with a negative sentiment because their methods are seen as absurdly incorrect and unhygienic.,Viewpoint: The meme views the exaggerated handwashing method with a neutral sentiment because its absurdity is seen as silly.,Viewpoint: The meme views handwashing guidelines during the coronavirus pandemic with a negative sentiment because their interpretation is seen as ridiculous and misguided.,Viewpoint: The meme views public health advice during the coronavirus pandemic with a negative sentiment because its complexity and impracticality of hygiene instructions are seen as overcomplicated and absurd.,Viewpoint: The meme views improper hand-washing techniques with a negative sentiment because its/his/her/their lack of hygiene is seen as dangerous.,Viewpoint: The meme views overly complicated hygiene instructions with a negative sentiment because their practicality is seen as questionable.,Viewpoint: The meme views overly complicated instructions with a negative sentiment because their practicality is seen as absurd.,Viewpoint: The meme views hand-washing with a negative sentiment because its/his/her/their method of using teeth to clean under fingernails is seen as absurd.
Aspect: thoughts about his office crush,Aspect: presence in thoughts,Aspect: emotional impact,Aspect: tendency to daydream during lockdown,Aspect: emotional intensity,Aspect: outward appearance,Aspect: romantic appeal,Aspect: disruption of social interactions,Aspect: desire for social connection,Aspect: nature,Aspect: inability to act on the crush during lockdown,Aspect: absence,https://memett-original.s3.amazonaws.com/covid_memes_3432.png,Opinion: common and relatable,Opinion: endearing,Opinion: characterized by relatable and humorous longing,Opinion: relatable,Opinion: exaggeratedly dramatic,Opinion: calm and composed,Opinion: heightened during isolation,Opinion: humorously relatable,Opinion: relatable and amusing,Opinion: reflective,Opinion: frustrating,Opinion: deeply missed,Sentiment: neutral,Sentiment: positive,Sentiment: neutral,Sentiment: neutral,Sentiment: neutral,Sentiment: neutral,Sentiment: positive,Sentiment: positive,Sentiment: neutral,Sentiment: neutral,Sentiment: negative,Sentiment: positive,Harm-C,4010,4004,4000,4003,4005,4006,4011,4001,4008,4009,4007,4002,Target: the man's thoughts during the lockdown,Target: the office crush,Target: the experience of thinking about an office crush during lockdown,Target: people with office crushes,Target: romantic longing during lockdown,Target: the man's inner thoughts during lockdown,Target: office crushes,Target: the lockdown experience,Target: people in lockdown,Target: my thoughts,Target: the situation of having an office crush,Target: the speaker's office crush,Viewpoint: The meme views the man's thoughts during the lockdown with a neutral sentiment because his thoughts about his office crush are seen as common and relatable.,Viewpoint: The meme views the office crush with a positive sentiment because their presence in thoughts is seen as endearing.,Viewpoint: The meme views the experience of thinking about an office crush during lockdown with a neutral sentiment because its emotional impact is seen as characterized by relatable and humorous longing.,Viewpoint: The meme views people with office crushes with a neutral sentiment because their tendency to daydream during lockdown is seen as relatable.,Viewpoint: The meme views romantic longing during lockdown with a neutral sentiment because its emotional intensity is seen as exaggeratedly dramatic.,Viewpoint: The meme views the man's inner thoughts during lockdown with a neutral sentiment because his outward appearance is seen as calm and composed.,Viewpoint: The meme views office crushes with a positive sentiment because their romantic appeal is seen as heightened during isolation.,Viewpoint: The meme views the lockdown experience with a positive sentiment because its disruption of social interactions is seen as humorously relatable.,Viewpoint: The meme views people in lockdown with a neutral sentiment because their desire for social connection is seen as relatable and amusing.,Viewpoint: The meme views my thoughts with a neutral sentiment because their nature is seen as reflective.,Viewpoint: The meme views the situation of having an office crush with a negative sentiment because its/his/her/their inability to act on the crush during lockdown is seen as frustrating.,Viewpoint: The meme views the speaker's office crush with a positive sentiment because their absence is seen as deeply missed.
Aspect: seriousness,Aspect: enforcement of parking rules,Aspect: role in maintaining cleanliness,Aspect: societal impact,Aspect: method of exploiting pandemic fears,Aspect: impact on everyday excuses,Aspect: threat,Aspect: strict enforcement,Aspect: role in enforcing pandemic protocols,Aspect: attempt to avoid a parking ticket,Aspect: use of the coronavirus as a justification,Aspect: tendency to use the coronavirus as an excuse for various situations,https://memett-original.s3.amazonaws.com/covid_memes_4908.png,Opinion: humorously irrelevant,Opinion: overly strict and unfair,Opinion: irresponsible,Opinion: anxiety-inducing,Opinion: cynical and antisocial,Opinion: absurdly humorous,Opinion: trivialized,Opinion: overly critical and humorous,Opinion: humorously misplaced,Opinion: irresponsible and deceptive,Opinion: ironic,Opinion: overblown and irrational,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: neutral,Sentiment: neutral,Sentiment: negative,Sentiment: neutral,Sentiment: negative,Sentiment: negative,Sentiment: negative,Harm-C,4003,4006,4011,4002,4000,4005,4001,4009,4004,4010,4007,4008,Target: traffic wardens' enforcement actions,Target: traffic wardens,Target: the traffic warden,Target: the 2020s-era COVID-19 pandemic,Target: the driver's attempt to deter a traffic warden,Target: the coronavirus pandemic,Target: coronavirus,Target: the COVID-19 pandemic safety measures,Target: traffic wardens,Target: car owner,Target: the attempt to avoid a traffic warden,Target: the general public's reaction to the coronavirus pandemic,Viewpoint: The meme views traffic wardens' enforcement actions with a negative sentiment because their seriousness is seen as humorously irrelevant.,Viewpoint: The meme views traffic wardens with a negative sentiment because their enforcement of parking rules is seen as overly strict and unfair.,Viewpoint: The meme views the traffic warden with a negative sentiment because their role in maintaining cleanliness is seen as irresponsible.,Viewpoint: The meme views the 2020s-era COVID-19 pandemic with a negative sentiment because its societal impact is seen as anxiety-inducing.,Viewpoint: The meme views the driver's attempt to deter a traffic warden with a negative sentiment because its method of exploiting pandemic fears is seen as cynical and antisocial.,Viewpoint: The meme views the coronavirus pandemic with a neutral sentiment because its impact on everyday excuses is seen as absurdly humorous.,Viewpoint: The meme views coronavirus with a neutral sentiment because its threat is seen as trivialized.,Viewpoint: The meme views the COVID-19 pandemic safety measures with a negative sentiment because its strict enforcement is seen as overly critical and humorous.,Viewpoint: The meme views traffic wardens with a neutral sentiment because their role in enforcing pandemic protocols is seen as humorously misplaced.,Viewpoint: The meme views car owner with a negative sentiment because their attempt to avoid a parking ticket is seen as irresponsible and deceptive.,Viewpoint: The meme views the attempt to avoid a traffic warden with a negative sentiment because its use of the coronavirus as a justification is seen as ironic.,Viewpoint: The meme views the general public's reaction to the coronavirus pandemic with a negative sentiment because its tendency to use the coronavirus as an excuse for various situations is seen as overblown and irrational.
Aspect: motivation,Aspect: creation,Aspect: impact,Aspect: influence,Aspect: influence,Aspect: impact,Aspect: attributed motivation (causing a pandemic for memes),Aspect: admission to engaging in meme culture,Aspect: impact on society,Aspect: actions,Aspect: cause,Aspect: impact on society,https://memett-original.s3.amazonaws.com/covid_memes_2021.png,Opinion: trivial and humorous,Opinion: trivialized and motivated by a desire for entertainment,Opinion: devastating and absurd,Opinion: widespread and impactful,Opinion: pervasive and impactful,Opinion: trivialized,"Opinion: absurdly callous and trivial, forming the basis for dark humor about the pandemic and internet culture",Opinion: unexpected and humorous,Opinion: trivialized by meme culture,Opinion: ironic,Opinion: absurdly trivial,Opinion: disruptive and challenging,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: positive,Sentiment: neutral,Sentiment: negative,Sentiment: neutral,Sentiment: neutral,Sentiment: negative,Sentiment: neutral,Sentiment: negative,Sentiment: negative,Harm-C,4007,4011,4002,4005,4004,4003,4000,4010,4008,4009,4001,4006,Target: the actions of the 'coronavirus' account,Target: the coronavirus,Target: the coronavirus pandemic,Target: internet culture,Target: internet culture,Target: the COVID-19 pandemic,Target: the personified coronavirus,Target: the World Health Organization,Target: the coronavirus,Target: the coronavirus,Target: the coronavirus pandemic,Target: the COVID-19 pandemic,Viewpoint: The meme views the actions of the 'coronavirus' account with a negative sentiment because its motivation is seen as trivial and humorous.,Viewpoint: The meme views the coronavirus with a negative sentiment because its creation is seen as trivialized and motivated by a desire for entertainment.,Viewpoint: The meme views the coronavirus pandemic with a negative sentiment because its impact is seen as devastating and absurd.,Viewpoint: The meme views internet culture with a positive sentiment because its influence is seen as widespread and impactful.,Viewpoint: The meme views internet culture with a neutral sentiment because its influence is seen as pervasive and impactful.,Viewpoint: The meme views the COVID-19 pandemic with a negative sentiment because its impact is seen as trivialized.,"Viewpoint: The meme views the personified coronavirus with a neutral sentiment because its attributed motivation (causing a pandemic for memes) is seen as absurdly callous and trivial, forming the basis for dark humor about the pandemic and internet culture.",Viewpoint: The meme views the World Health Organization with a neutral sentiment because its admission to engaging in meme culture is seen as unexpected and humorous.,Viewpoint: The meme views the coronavirus with a negative sentiment because its impact on society is seen as trivialized by meme culture.,Viewpoint: The meme views the coronavirus with a neutral sentiment because its actions are seen as ironic.,Viewpoint: The meme views the coronavirus pandemic with a negative sentiment because its cause is seen as absurdly trivial.,Viewpoint: The meme views the COVID-19 pandemic with a negative sentiment because its impact on society is seen as disruptive and challenging.
Aspect: registration and distribution,Aspect: skepticism,Aspect: vaccine development,Aspect: dismissal of the Russian vaccine and simultaneous boasting about US capabilities,Aspect: competitive nature,Aspect: response to Russia's COVID-19 vaccine,Aspect: focus on rivalry,Aspect: prospects,Aspect: scientific progress,Aspect: response,Aspect: achievement in registering the first coronavirus vaccine,Aspect: dismissive attitude,https://memett-original.s3.amazonaws.com/covid_memes_734.png,Opinion: suspect,Opinion: politically motivated,Opinion: exaggeratedly rapid and competitive in response to Russia's vaccine registration,Opinion: arrogant and potentially hypocritical,Opinion: absurd in the context of a global health crisis,Opinion: hypocritical,Opinion: inefficient,Opinion: untrustworthy,Opinion: impressive,Opinion: dismissive,Opinion: proud and confident,Opinion: arrogant and unwarranted,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: positive,Sentiment: negative,Sentiment: positive,Sentiment: negative,Harm-C,4010,4006,4011,4000,4005,4003,4004,4002,4009,4007,4008,4001,Target: the Russian vaccine,Target: the U.S.'s response to Russia's coronavirus vaccine,Target: the U.S.,Target: the United States' reaction to Russia's vaccine announcement,Target: geopolitical rivalry,Target: the U.S.,Target: national responses to global health crises,Target: the Russian coronavirus vaccine,Target: Russia's vaccine achievement,Target: the U.S. skepticism toward the Russian coronavirus vaccine,Target: Russia,Target: the US reaction to the Russian vaccine,Viewpoint: The meme views the Russian vaccine with a negative sentiment because its registration and distribution are seen as suspect.,Viewpoint: The meme views the U.S.'s response to Russia's coronavirus vaccine with a negative sentiment because its skepticism is seen as politically motivated.,Viewpoint: The meme views the U.S. with a negative sentiment because its vaccine development is seen as exaggeratedly rapid and competitive in response to Russia's vaccine registration.,Viewpoint: The meme views the United States' reaction to Russia's vaccine announcement with a negative sentiment because its dismissal of the Russian vaccine and simultaneous boasting about US capabilities are seen as arrogant and potentially hypocritical.,Viewpoint: The meme views geopolitical rivalry with a negative sentiment because its competitive nature is seen as absurd in the context of a global health crisis.,Viewpoint: The meme views the U.S. with a negative sentiment because its response to Russia's COVID-19 vaccine is seen as hypocritical.,Viewpoint: The meme views national responses to global health crises with a negative sentiment because their focus on rivalry is seen as inefficient.,Viewpoint: The meme views the Russian coronavirus vaccine with a negative sentiment because its prospects are seen as untrustworthy.,Viewpoint: The meme views Russia's vaccine achievement with a positive sentiment because its scientific progress is seen as impressive.,Viewpoint: The meme views the U.S. skepticism toward the Russian coronavirus vaccine with a negative sentiment because its/his/her/their response is seen as dismissive.,Viewpoint: The meme views Russia with a positive sentiment because its achievement in registering the first coronavirus vaccine is seen as proud and confident.,Viewpoint: The meme views the US reaction to the Russian vaccine with a negative sentiment because its dismissive attitude is seen as arrogant and unwarranted.
Aspect: impact on global health,Aspect: approach to these issues,Aspect: proponents,Aspect: legitimacy,Aspect: dismissal of scientific consensus,Aspect: validity,Aspect: dismissal of scientific evidence,Aspect: reality,Aspect: reality or authenticity,Aspect: serious nature,Aspect: denial,Aspect: existence,https://memett-original.s3.amazonaws.com/covid_memes_262.png,Opinion: alarming and real,Opinion: misguided,Opinion: irresponsible and harmful,Opinion: questionable,Opinion: ignorant,Opinion: illogical and absurd,Opinion: irresponsible,Opinion: fake,Opinion: disputed or fake,Opinion: falsely denied,Opinion: misinformed,Opinion: fake,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: negative,Harm-C,4011,4004,4006,4005,4002,4001,4007,4000,4008,4009,4003,4010,Target: climate change,Target: people who are skeptical of climate change and the pandemic,Target: climate change denial and pandemic skepticism,Target: climate change and the pandemic,Target: climate change deniers,Target: climate change denial and pandemic denial,Target: conspiracy theories about climate change and the pandemic being fake,Target: climate change,Target: climate change and the pandemic,Target: climate change and the pandemic,Target: individuals who deny climate change and the pandemic,Target: climate change and the pandemic,Viewpoint: The meme views climate change with a negative sentiment because its impact on global health is seen as alarming and real.,Viewpoint: The meme views people who are skeptical of climate change and the pandemic with a negative sentiment because their approach to these issues is seen as misguided.,Viewpoint: The meme views climate change denial and pandemic skepticism with a negative sentiment because their proponents are seen as irresponsible and harmful.,Viewpoint: The meme views climate change and the pandemic with a negative sentiment because their legitimacy is seen as questionable.,Viewpoint: The meme views climate change deniers with a negative sentiment because their dismissal of scientific consensus is seen as ignorant.,Viewpoint: The meme views climate change denial and pandemic denial with a negative sentiment because their validity is seen as illogical and absurd.,Viewpoint: The meme views conspiracy theories about climate change and the pandemic being fake with a negative sentiment because its/his/her/their dismissal of scientific evidence is seen as irresponsible.,Viewpoint: The meme views climate change with a negative sentiment because its reality is seen as fake.,Viewpoint: The meme views climate change and the pandemic with a negative sentiment because their reality or authenticity is seen as disputed or fake.,Viewpoint: The meme views climate change and the pandemic with a negative sentiment because their serious nature is seen as falsely denied.,Viewpoint: The meme views individuals who deny climate change and the pandemic with a negative sentiment because their denial is seen as misinformed.,Viewpoint: The meme views climate change and the pandemic with a negative sentiment because their existence is seen as fake.
Aspect: definition,Aspect: reality,Aspect: productivity,Aspect: unconventional nature,Aspect: home environment,Aspect: productivity,Aspect: productivity,Aspect: associated productivity or genuineness,Aspect: productivity,Aspect: concept,Aspect: reality,Aspect: productivity,https://memett-original.s3.amazonaws.com/covid_memes_1883.png,Opinion: irrelevant or misleading,Opinion: frustrating and unproductive,Opinion: questionable,Opinion: absurd,Opinion: a place of distraction or lack of seriousness,Opinion: questionable,Opinion: humorously questionable,Opinion: questionable or potentially feigned,Opinion: lacking,Opinion: exaggerated,Opinion: fraught with challenges and frustrations,Opinion: questionable,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: neutral,Sentiment: negative,Sentiment: negative,Harm-C,4010,4006,4002,4007,4011,4004,4001,4000,4003,4009,4008,4005,"Target: the concept of ""working"" from home",Target: the experience of working from home,Target: remote workers,Target: the concept of remote work,Target: the concept of working from home,Target: remote workers,Target: working from home,Target: the practice of working from home,Target: people who work from home,Target: remote work,Target: working from home,Target: working from home,"Viewpoint: The meme views the concept of ""working"" from home with a negative sentiment because its definition is seen as irrelevant or misleading.",Viewpoint: The meme views the experience of working from home with a negative sentiment because its reality is seen as frustrating and unproductive.,Viewpoint: The meme views remote workers with a negative sentiment because their productivity is seen as questionable.,Viewpoint: The meme views the concept of remote work with a negative sentiment because its unconventional nature is seen as absurd.,Viewpoint: The meme views the concept of working from home with a negative sentiment because its/his/her/their home environment is seen as a place of distraction or lack of seriousness.,Viewpoint: The meme views remote workers with a negative sentiment because their productivity is seen as questionable.,Viewpoint: The meme views working from home with a negative sentiment because its productivity is seen as humorously questionable.,Viewpoint: The meme views the practice of working from home with a negative sentiment because its associated productivity or genuineness is seen as questionable or potentially feigned.,Viewpoint: The meme views people who work from home with a negative sentiment because their productivity is seen as lacking.,Viewpoint: The meme views remote work with a neutral sentiment because its concept is seen as exaggerated.,Viewpoint: The meme views working from home with a negative sentiment because its reality is seen as fraught with challenges and frustrations.,Viewpoint: The meme views working from home with a negative sentiment because its productivity is seen as questionable.
Aspect: national anthem's plea,Aspect: longevity,Aspect: reaction to Queen Elizabeth II's longevity,Aspect: reaction to the Queen living 93 years,Aspect: cultural significance and the unexpected fact about the Queen's age,Aspect: expectation of the Queen's life,Aspect: lifespan of 93 years,Aspect: longevity,Aspect: longevity,Aspect: lifespan of 93 years,Aspect: reaction to the Queen's longevity,Aspect: surprise,https://memett-original.s3.amazonaws.com/covid_memes_871.png,Opinion: humorously ineffective,Opinion: remarkable or unexpected,Opinion: comically surprised,Opinion: exaggerated and surprising,Opinion: jarring and surprising,Opinion: short-sighted,Opinion: unexpectedly extended,Opinion: remarkable,Opinion: surprising,Opinion: impressive,Opinion: surprised,Opinion: exaggerated,Sentiment: neutral,Sentiment: neutral,Sentiment: neutral,Sentiment: negative,Sentiment: negative,Sentiment: negative,Sentiment: neutral,Sentiment: positive,Sentiment: neutral,Sentiment: positive,Sentiment: neutral,Sentiment: negative,Harm-C,4002,4008,4000,4011,4006,4003,4001,4007,4005,4004,4010,4009,Target: the British,Target: the Queen,Target: the British public,Target: the British people,Target: the British national anthem and the longevity of Queen Elizabeth II,Target: the British people,Target: the Queen's longevity,Target: the British monarchy,Target: the British monarchy,Target: the Queen,Target: the British people,Target: the British reaction to the Queen's longevity,Viewpoint: The meme views the British with a neutral sentiment because their national anthem's plea is seen as humorously ineffective.,Viewpoint: The meme views the Queen with a neutral sentiment because her longevity is seen as remarkable or unexpected.,Viewpoint: The meme views the British public with a neutral sentiment because their reaction to Queen Elizabeth II's longevity is seen as comically surprised.,Viewpoint: The meme views the British people with a negative sentiment because their reaction to the Queen living 93 years is seen as exaggerated and surprising.,Viewpoint: The meme views the British national anthem and the longevity of Queen Elizabeth II with a negative sentiment because their cultural significance and the unexpected fact about the Queen's age are seen as jarring and surprising.,Viewpoint: The meme views the British people with a negative sentiment because their expectation of the Queen's life is seen as short-sighted.,Viewpoint: The meme views the Queen's longevity with a neutral sentiment because her lifespan of 93 years is seen as unexpectedly extended.,Viewpoint: The meme views the British monarchy with a positive sentiment because its longevity is seen as remarkable.,Viewpoint: The meme views the British monarchy with a neutral sentiment because its longevity is seen as surprising.,Viewpoint: The meme views the Queen with a positive sentiment because her lifespan of 93 years is seen as impressive.,Viewpoint: The meme views the British people with a neutral sentiment because their reaction to the Queen's longevity is seen as surprised.,Viewpoint: The meme views the British reaction to the Queen's longevity with a negative sentiment because its aspect of surprise is seen as exaggerated.
